Domain,In-demand Industry Skill,Demand Level,Source
Emerging Technologies,Social &,Moderate,NASSCOM 2025
Data Science & Analytics,Big Data,Moderate,NASSCOM 2025
Emerging Technologies,Where are we now?,Moderate,NASSCOM 2025
Emerging Technologies,Technologies Enabled:,Moderate,NASSCOM 2025
Emerging Technologies,An Example,Moderate,NASSCOM 2025
Data Science & Analytics,Big Data Analytics &,Moderate,NASSCOM 2025
Emerging Technologies,Artificial Intelligence,Moderate,NASSCOM 2025
Emerging Technologies,The Road Ahead,High,NASSCOM 2025
Soft & Employability Skills,Requires a team India effort !,High,NASSCOM 2025
Artificial Intelligence & Machine Learning,Terms of use and disclaimer,Moderate,WEF 2025
Emerging Technologies,World Economic Forum,Moderate,WEF 2025
Emerging Technologies,CH-1223 Cologny/Geneva,Moderate,WEF 2025
Emerging Technologies,Tel.: +41 (0)22 869 1212,Moderate,WEF 2025
Emerging Technologies,Fax: +41 (0)22 786 2744,Moderate,WEF 2025
Artificial Intelligence & Machine Learning,E-mail: contact@weforum.org,Moderate,WEF 2025
Emerging Technologies,ISBN 978-2-940631-90-2,Moderate,WEF 2025
Emerging Technologies,January 2025,Moderate,WEF 2025
Emerging Technologies,"The findings, interpretations and conclusions",Moderate,WEF 2025
Emerging Technologies,"Economic Forum”), is distributed or reproduced,",Moderate,WEF 2025
Emerging Technologies,Key findings,Moderate,WEF 2025
Emerging Technologies,User Guide,Moderate,WEF 2025
Emerging Technologies,"Coursera, Indeed and LinkedIn, whose innovative",Moderate,WEF 2025
Emerging Technologies,Economy and Society.,Moderate,WEF 2025
Emerging Technologies,Saadia Zahidi,Moderate,WEF 2025
Emerging Technologies,Managing Director,Moderate,WEF 2025
Emerging Technologies,"Technological change, geoeconomic fragmentation,",Very High,WEF 2025
Emerging Technologies,Climate-change mitigation is the third-most,Very High,WEF 2025
Emerging Technologies,Two demographic shifts are increasingly seen,Very High,WEF 2025
Emerging Technologies,Geoeconomic fragmentation and geopolitical,Very High,WEF 2025
Emerging Technologies,Extrapolating from the predictions shared by,Very High,WEF 2025
Emerging Technologies,"Construction Workers, Salespersons, and Food",Very High,WEF 2025
Emerging Technologies,"Processing Workers. Care economy jobs, such",Very High,WEF 2025
Emerging Technologies,Counselling Professionals and Personal Care,Very High,WEF 2025
Emerging Technologies,Technology-related roles are the fastest-,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Machine Learning Specialists and Software,Very High,WEF 2025
Emerging Technologies,"Electric Vehicle Specialists, Environmental",Very High,WEF 2025
Emerging Technologies,"Engineers, and Renewable Energy Engineers,",Very High,WEF 2025
Emerging Technologies,Clerical and Secretarial Workers – including,Very High,WEF 2025
Emerging Technologies,"Cashiers and Ticket Clerks, and Administrative",Very High,WEF 2025
Emerging Technologies,Assistants and Executive Secretaries – are,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Analytical thinking remains the most sought-,Very High,WEF 2025
Emerging Technologies,"Complementing these technology-related skills,",Very High,WEF 2025
Emerging Technologies,Supporting employee health and well-being is,Very High,WEF 2025
Emerging Technologies,"Effective reskilling and upskilling initiatives, along",Very High,WEF 2025
Emerging Technologies,Part I: The Future,Moderate,WEF 2025
Emerging Technologies,The global labour,High,WEF 2025
Emerging Technologies,The year 2025 unfolds amid ongoing,High,WEF 2025
Emerging Technologies,While middle-income countries are experiencing,High,WEF 2025
Emerging Technologies,Reductions in unemployment have also lagged,High,WEF 2025
Emerging Technologies,High-income countries have an unemployment rate,High,WEF 2025
Emerging Technologies,Youth unemployment rates tell another story,High,WEF 2025
Emerging Technologies,Labour Organization (ILO) to incorporate a,High,WEF 2025
Emerging Technologies,The global labour-force participation rate has,High,WEF 2025
Emerging Technologies,In lower-income economies the labour-force,High,WEF 2025
Emerging Technologies,Drivers of,Very High,WEF 2025
Software Engineering,"Technological developments, the green transition,",Very High,WEF 2025
Emerging Technologies,Expected impact of macrotrends on business,Very High,WEF 2025
Emerging Technologies,Share of employers surveyed (%),Very High,WEF 2025
Emerging Technologies,Macrotrends driving business transformation,Very High,WEF 2025
Emerging Technologies,Broadening digital access,Very High,WEF 2025
Emerging Technologies,Slower economic growth,Very High,WEF 2025
Emerging Technologies,Ageing and declining working-age populations,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Increased geopolitical division and conﬂicts,Very High,WEF 2025
Emerging Technologies,Growing working-age populations,Very High,WEF 2025
Emerging Technologies,Increased government subsidies and industrial policy,Very High,WEF 2025
Emerging Technologies,Stricter anti-trust and competition regulations,Very High,WEF 2025
Emerging Technologies,Geoeconomic fragmentation,Very High,WEF 2025
Emerging Technologies,Demographic shifts,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Economic uncertainty,Very High,WEF 2025
Emerging Technologies,Societal issues,Very High,WEF 2025
Emerging Technologies,Technology change,Very High,WEF 2025
Emerging Technologies,Green transition,Very High,WEF 2025
Emerging Technologies,Technological change,Very High,WEF 2025
Emerging Technologies,"Technology trends driving business transformation, 2025-2030",High,WEF 2025
Artificial Intelligence & Machine Learning,AI and information processing technologies,High,WEF 2025
Emerging Technologies,Robots and autonomous systems,High,WEF 2025
Emerging Technologies,"Energy generation, storage and distribution",High,WEF 2025
Emerging Technologies,New materials and composites,High,WEF 2025
Emerging Technologies,Semiconductors and computing technologies,High,WEF 2025
Emerging Technologies,"Sensing, laser and optical technologies",High,WEF 2025
Cybersecurity,Quantum and encryption,High,WEF 2025
Data Science & Analytics,Biotechnology and gene technologies,High,WEF 2025
Emerging Technologies,Satellites and space technologies,High,WEF 2025
Artificial Intelligence & Machine Learning,Although more generalized adoption of AI,High,WEF 2025
Soft & Employability Skills,The information technology sector is leading,High,WEF 2025
Emerging Technologies,"Looking further ahead, some observers argue",High,WEF 2025
Emerging Technologies,"Assistants.10 Similarly, the technology could",High,WEF 2025
Emerging Technologies,"However, without appropriate decision-making",High,WEF 2025
Emerging Technologies,Robots and autonomous systems are expected,High,WEF 2025
Artificial Intelligence & Machine Learning,"GenAI, robots and autonomous systems have",Very High,WEF 2025
Emerging Technologies,Coursera analysis.,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Demand for generative AI skills,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Generative AI enrolment trend 2022-2024.,Very High,WEF 2025
Emerging Technologies,Total consumer enrolments,Very High,WEF 2025
Emerging Technologies,Total enterprise enrolments,Very High,WEF 2025
Emerging Technologies,Enrolment month,Very High,WEF 2025
Emerging Technologies,B O X  1 . 1,Very High,WEF 2025
Artificial Intelligence & Machine Learning,GenAI training uptake.,Very High,WEF 2025
Artificial Intelligence & Machine Learning,"Globally, individual learners on Coursera have",Very High,WEF 2025
Emerging Technologies,In collaboration with Coursera,Very High,WEF 2025
Emerging Technologies,According to the World Economic Forum’s,Very High,WEF 2025
Emerging Technologies,"September 2024 Chief Economists Outlook,16",Very High,WEF 2025
Emerging Technologies,"However, among those anticipating change,",Very High,WEF 2025
Emerging Technologies,"Despite this comparatively steady outlook, price",Very High,WEF 2025
Artificial Intelligence & Machine Learning,"Against this backdrop, companies expect economic",Very High,WEF 2025
Emerging Technologies,"South-Eastern Asia, slower economic growth is",Very High,WEF 2025
Emerging Technologies,"Finally, stricter anti-trust and competition",Very High,WEF 2025
Cybersecurity,Intensifying geoeconomic tensions threaten,Very High,WEF 2025
Emerging Technologies,This shift toward geoeconomic fragmentation,Very High,WEF 2025
Emerging Technologies,Geoeconomic concerns vary by economy.,Very High,WEF 2025
Emerging Technologies,"Manufacturing, and Oil and Gas anticipate",Very High,WEF 2025
Soft & Employability Skills,"Accommodation, Food, and Leisure expect minimal",Very High,WEF 2025
Emerging Technologies,The broader implications of geoeconomic,Very High,WEF 2025
Emerging Technologies,Republic of Korea,Very High,WEF 2025
Data Science & Analytics,Saudi Arabia,Very High,WEF 2025
Emerging Technologies,Viet Nam,Very High,WEF 2025
Emerging Technologies,"Geoeconomic trends, by economy",Very High,WEF 2025
Emerging Technologies,Increased restrictions to global,Very High,WEF 2025
Emerging Technologies,Increased government subsidies,Very High,WEF 2025
Emerging Technologies,Increased geopolitical,Very High,WEF 2025
Emerging Technologies,Exposure to China and US,Very High,WEF 2025
Emerging Technologies,Exposure to China,Very High,WEF 2025
Emerging Technologies,Exposure to US,Very High,WEF 2025
Emerging Technologies,Exposure to neither China nor US,Very High,WEF 2025
Emerging Technologies,"Automotive and Aerospace, and Mining and",High,WEF 2025
Emerging Technologies,Metals – anticipates significant organizational,High,WEF 2025
Soft & Employability Skills,"Accommodation, Food, and Leisure",High,WEF 2025
Emerging Technologies,Advanced manufacturing,High,WEF 2025
Emerging Technologies,"Agriculture, forestry, and ﬁshing",High,WEF 2025
Emerging Technologies,Automotive and Aerospace,High,WEF 2025
Emerging Technologies,Chemical and advanced materials,High,WEF 2025
Artificial Intelligence & Machine Learning,Education and training,High,WEF 2025
Emerging Technologies,Energy technology and utilities,High,WEF 2025
Emerging Technologies,Financial services and capital markets,High,WEF 2025
Emerging Technologies,Government and public sector,High,WEF 2025
Emerging Technologies,Information and technology services,High,WEF 2025
Soft & Employability Skills,Insurance and pensions management,High,WEF 2025
Emerging Technologies,Medical and healthcare services,High,WEF 2025
Emerging Technologies,Mining and Metals,High,WEF 2025
Emerging Technologies,Oil and gas,High,WEF 2025
Emerging Technologies,Production of consumer goods,High,WEF 2025
Emerging Technologies,Professional Services,High,WEF 2025
Emerging Technologies,Real estate,High,WEF 2025
Artificial Intelligence & Machine Learning,Retail and wholesale of consumer goods,High,WEF 2025
Artificial Intelligence & Machine Learning,Supply chain and transportation,High,WEF 2025
Emerging Technologies,"Geoeconomic trends, by industry cluster",High,WEF 2025
Artificial Intelligence & Machine Learning,Increased geopolitical division,High,WEF 2025
Emerging Technologies,"Australia, Germany and Japan, experience more",High,WEF 2025
Emerging Technologies,Sub-Saharan African countries expect to see,High,WEF 2025
Emerging Technologies,"Compared to global averages, employers facing",High,WEF 2025
Data Science & Analytics,"Conversely, many economies’ actual ability to",High,WEF 2025
Emerging Technologies,"Encouragingly, employers responding to the Future",High,WEF 2025
Emerging Technologies,Lower-middle income,High,WEF 2025
Emerging Technologies,High income,High,WEF 2025
Emerging Technologies,Upper-middle income,High,WEF 2025
Emerging Technologies,United Arab Emirates,High,WEF 2025
Emerging Technologies,Global: 40%,High,WEF 2025
Emerging Technologies,Global: 25%,High,WEF 2025
Emerging Technologies,"Hong Kong SAR, China",High,WEF 2025
Emerging Technologies,United Kingdom,High,WEF 2025
Emerging Technologies,United States,High,WEF 2025
Emerging Technologies,South Africa,High,WEF 2025
Emerging Technologies,Impacted by growing working-age populations (%),High,WEF 2025
Emerging Technologies,Jobs outlook,High,WEF 2025
Emerging Technologies,"Technological change, the green transition,",High,WEF 2025
Emerging Technologies,Total job growth and loss,High,WEF 2025
Emerging Technologies,"International Labour Organization, ILOSTAT.",High,WEF 2025
Emerging Technologies,Global employment change by 2030,High,WEF 2025
Emerging Technologies,Jobs destroyed,High,WEF 2025
Emerging Technologies,Jobs created,High,WEF 2025
Emerging Technologies,One million jobs,High,WEF 2025
Emerging Technologies,Growing and declining jobs,High,WEF 2025
Artificial Intelligence & Machine Learning,Learning Specialists and Software and Applications,Very High,WEF 2025
Data Science & Analytics,Data Entry Clerks,Very High,WEF 2025
Emerging Technologies,Bank Tellers and Related Clerks,Very High,WEF 2025
Emerging Technologies,Material-Recording and Stock-Keeping Clerks,Very High,WEF 2025
Emerging Technologies,"Door-To-Door Sales Workers, News and",Very High,WEF 2025
Emerging Technologies,"Street Vendors, and Related Workers",Very High,WEF 2025
Emerging Technologies,Administrative Assistants and Executive Secretaries,Very High,WEF 2025
Emerging Technologies,Legal Secretaries,Very High,WEF 2025
Emerging Technologies,Printing and Related Trades Workers,Very High,WEF 2025
Emerging Technologies,Legal Ofﬁcials,Very High,WEF 2025
Emerging Technologies,Postal Service Clerks,Very High,WEF 2025
Emerging Technologies,"Accounting, Bookkeeping and Payroll Clerks",Very High,WEF 2025
Emerging Technologies,Transportation Attendants and Conductors,Very High,WEF 2025
Emerging Technologies,Cashiers and Ticket Clerks,Very High,WEF 2025
Emerging Technologies,Graphic Designers,Very High,WEF 2025
Artificial Intelligence & Machine Learning,"Claims Adjusters, Examiners, and Investigators",Very High,WEF 2025
Data Science & Analytics,Big Data Specialists,Very High,WEF 2025
Emerging Technologies,FinTech Engineers,Very High,WEF 2025
Artificial Intelligence & Machine Learning,AI and Machine Learning Specialists,Very High,WEF 2025
Software Engineering,Software and Applications Developers,Very High,WEF 2025
Cybersecurity,Security Management Specialists,Very High,WEF 2025
Data Science & Analytics,Data Warehousing Specialists,Very High,WEF 2025
Emerging Technologies,Autonomous and Electric Vehicle Specialists,Very High,WEF 2025
Emerging Technologies,UI and UX Designers,Very High,WEF 2025
Emerging Technologies,Light Truck or Delivery Services Drivers,Very High,WEF 2025
Emerging Technologies,Internet of Things Specialists,Very High,WEF 2025
Data Science & Analytics,Data Analysts and Scientists,Very High,WEF 2025
Emerging Technologies,Environmental Engineers,Very High,WEF 2025
Cybersecurity,Information Security Analysts,Very High,WEF 2025
Software Engineering,Devops Engineer,Very High,WEF 2025
Emerging Technologies,Renewable Energy Engineers,Very High,WEF 2025
Emerging Technologies,Net growth (%),Very High,WEF 2025
Emerging Technologies,Top fastest growing jobs,Very High,WEF 2025
Emerging Technologies,Top fastest declining jobs,Very High,WEF 2025
Emerging Technologies,"Fastest-growing and fastest-declining jobs, 2025-2030",Very High,WEF 2025
Soft & Employability Skills,"Management Specialists, which ranks among the",Very High,WEF 2025
Emerging Technologies,"Green and energy-transition roles, including",Very High,WEF 2025
Emerging Technologies,"Autonomous and Electric Vehicle Specialists,",Very High,WEF 2025
Emerging Technologies,"Environmental Engineers, and Renewable",Very High,WEF 2025
Emerging Technologies,"By contrast, respondents expect the fastest-",Very High,WEF 2025
Emerging Technologies,Administrative Assistants and Executive,Very High,WEF 2025
Emerging Technologies,"Secretaries, Printing Workers, and Accountants",Very High,WEF 2025
Emerging Technologies,Share of current workforce (%),High,WEF 2025
Emerging Technologies,Jobs displaced,High,WEF 2025
Emerging Technologies,Net growth or decline,High,WEF 2025
Emerging Technologies,"Job growth and decline (%), 2025-2030",High,WEF 2025
Emerging Technologies,Robotics Engineers,High,WEF 2025
Artificial Intelligence & Machine Learning,Blockchain Developers,High,WEF 2025
Data Science & Analytics,Data Engineers,High,WEF 2025
Emerging Technologies,Digital Transformation Specialists,High,WEF 2025
Emerging Technologies,Process Automation Specialists,High,WEF 2025
Artificial Intelligence & Machine Learning,Sustainability Specialists,High,WEF 2025
Emerging Technologies,Renewable Energy Technicians,High,WEF 2025
Emerging Technologies,System Engineers,High,WEF 2025
Software Engineering,Organisational Development Specialists,High,WEF 2025
Artificial Intelligence & Machine Learning,Online Learning Managers,High,WEF 2025
Emerging Technologies,Digital Marketing and Strategy Specialists,High,WEF 2025
Cybersecurity,Environmental Protection Professionals,High,WEF 2025
Emerging Technologies,Solar Energy Installation and System Engineers,High,WEF 2025
Data Science & Analytics,Database and Network Professionals,High,WEF 2025
Emerging Technologies,"Car, Van and Motorcycle Drivers",High,WEF 2025
Emerging Technologies,Full Stack Engineers,High,WEF 2025
Emerging Technologies,Food Scientists and Technologists,High,WEF 2025
Emerging Technologies,ICT Operations and User Support Technicians,High,WEF 2025
Soft & Employability Skills,E-commerce Specialists,High,WEF 2025
Emerging Technologies,Strategic Advisors,High,WEF 2025
Emerging Technologies,Social Media Strategist,High,WEF 2025
Soft & Employability Skills,Hotel and Restaurant Managers,High,WEF 2025
Software Engineering,Business Development Professionals,High,WEF 2025
Artificial Intelligence & Machine Learning,Personal Care Aides,High,WEF 2025
Soft & Employability Skills,Product Managers,High,WEF 2025
Emerging Technologies,Business Intelligence Analysts,High,WEF 2025
Emerging Technologies,Energy Engineers,High,WEF 2025
Emerging Technologies,Advertising and Public Relations Professionals,High,WEF 2025
Data Science & Analytics,Database Architects,High,WEF 2025
Soft & Employability Skills,Risk Management Specialists,High,WEF 2025
Soft & Employability Skills,Project Managers,High,WEF 2025
Emerging Technologies,Sales and Marketing Professionals,High,WEF 2025
Emerging Technologies,Social Scientists and Related Workers,High,WEF 2025
Artificial Intelligence & Machine Learning,Supply Chain and Logistics Specialists,High,WEF 2025
Soft & Employability Skills,Management and Organisation Analysts,High,WEF 2025
Emerging Technologies,University and Higher Education Teachers,High,WEF 2025
Emerging Technologies,Industrial and Production Engineers,High,WEF 2025
Emerging Technologies,Chefs and Cooks,High,WEF 2025
Emerging Technologies,Electrotechnology Engineers,High,WEF 2025
Emerging Technologies,Nursing Professionals,High,WEF 2025
Soft & Employability Skills,Media and Communication Workers,High,WEF 2025
Emerging Technologies,Civil Engineers,High,WEF 2025
Emerging Technologies,Regulatory and Government Associate Professionals,High,WEF 2025
Artificial Intelligence & Machine Learning,Training and Development Specialists,High,WEF 2025
Emerging Technologies,Chemists and Chemical Laboratory Scientists,High,WEF 2025
Emerging Technologies,Mechanical Engineers,High,WEF 2025
Emerging Technologies,Architects and Surveyors,High,WEF 2025
Emerging Technologies,Secondary Education Teachers,High,WEF 2025
Emerging Technologies,Garment and Related Trades Workers,High,WEF 2025
Emerging Technologies,Food Processing and Related Trades Workers,High,WEF 2025
Emerging Technologies,Compliance Ofﬁcers,High,WEF 2025
Emerging Technologies,Financial and Investment Advisers,High,WEF 2025
Soft & Employability Skills,Health and Education Services Managers,High,WEF 2025
Data Science & Analytics,"Arbitrators, Mediators, and Conciliators",High,WEF 2025
Soft & Employability Skills,Relationship Managers,High,WEF 2025
Emerging Technologies,Special Education Teachers,High,WEF 2025
Artificial Intelligence & Machine Learning,Electrical Equipment Installers and Repairers,High,WEF 2025
Emerging Technologies,Construction Laborers,High,WEF 2025
Emerging Technologies,Sales and Purchasing Agents and Brokers,High,WEF 2025
Emerging Technologies,Chemical Processing Plant Operators,High,WEF 2025
Emerging Technologies,Vocational Education Teachers,High,WEF 2025
Emerging Technologies,Social Work and Counselling Professionals,High,WEF 2025
Emerging Technologies,Primary School and Early Childhood Teachers,High,WEF 2025
Emerging Technologies,Food and Beverage Serving Workers,High,WEF 2025
Emerging Technologies,Shop Salespersons,High,WEF 2025
Emerging Technologies,Power Production Plant Operators,High,WEF 2025
Emerging Technologies,Managing Directors and Chief Executives,High,WEF 2025
Soft & Employability Skills,General and Operations Managers,High,WEF 2025
Emerging Technologies,Financial Analysts,High,WEF 2025
Artificial Intelligence & Machine Learning,Mechanics and Machinery Repairers,High,WEF 2025
Emerging Technologies,Heavy Truck and Bus Drivers,High,WEF 2025
Emerging Technologies,"Mining, Petroleum and Other Extraction Workers",High,WEF 2025
Emerging Technologies,Survey Researchers,High,WEF 2025
Emerging Technologies,Assembly and Factory Workers,High,WEF 2025
Emerging Technologies,Chemical Engineers,High,WEF 2025
Emerging Technologies,Client Information and Customer Service Workers,High,WEF 2025
Cybersecurity,Security Guards,High,WEF 2025
Emerging Technologies,Recruiters and Technical Recruiters,High,WEF 2025
Emerging Technologies,"Insurance Underwriters, Valuers, and Loss Assessors",High,WEF 2025
Emerging Technologies,"Building Caretakers, Cleaners and Housekeepers",High,WEF 2025
Emerging Technologies,Paralegals and Legal Assistants,High,WEF 2025
Soft & Employability Skills,Business Services and Administration Managers,High,WEF 2025
Emerging Technologies,"Statistical, Finance and Insurance Clerks",High,WEF 2025
Emerging Technologies,Accountants and Auditors,High,WEF 2025
Emerging Technologies,Concierges and Hotel Desk Clerks,High,WEF 2025
Emerging Technologies,Credit and Loans Ofﬁcers,High,WEF 2025
Emerging Technologies,Legal ofﬁcials,High,WEF 2025
Emerging Technologies,"Accounting,  Bookkeeping and Payroll Clerks",High,WEF 2025
Emerging Technologies,"Delivery Drivers, Building Construction Workers,",Very High,WEF 2025
Emerging Technologies,Salespersons and Food Processing Workers are,Very High,WEF 2025
Emerging Technologies,"Care jobs, including Nursing Professionals, Social",Very High,WEF 2025
Emerging Technologies,"Work and Counselling Professionals, and Personal",Very High,WEF 2025
Emerging Technologies,Education-related roles such as University and,Very High,WEF 2025
Emerging Technologies,Higher Education Teachers and Secondary,Very High,WEF 2025
Software Engineering,"Additionally, Software and Applications Developers,",Very High,WEF 2025
Soft & Employability Skills,"General and Operations Managers, and Project",Very High,WEF 2025
Emerging Technologies,"Framers, Finishers, and Related Trades Workers;",Very High,WEF 2025
Soft & Employability Skills,Managers; and Social Work and Counselling,Very High,WEF 2025
Emerging Technologies,"Farmworkers, Labourers, and Other Agricultural Workers",Very High,WEF 2025
Emerging Technologies,Millions of jobs,Very High,WEF 2025
Emerging Technologies,Top largest growing jobs,Very High,WEF 2025
Emerging Technologies,Top largest declining jobs,Very High,WEF 2025
Emerging Technologies,"Largest growing and declining jobs, 2025-2030",Very High,WEF 2025
Emerging Technologies,Expected impact of macrotrends on employment,Very High,WEF 2025
Emerging Technologies,Net effect,Very High,WEF 2025
Emerging Technologies,Increased efforts and investments,Very High,WEF 2025
Emerging Technologies,Vehicle Specialists); and robotics and autonomous,Very High,WEF 2025
Emerging Technologies,"Related Trades Workers, and Building Caretakers,",Very High,WEF 2025
Emerging Technologies,Cleaners and Housekeepers) feature other trends,Very High,WEF 2025
Emerging Technologies,"By contrast, the largest-growth jobs are",Very High,WEF 2025
Emerging Technologies,The three technology-based trends stand out,Very High,WEF 2025
Artificial Intelligence & Machine Learning,GenAI’s increasing capacity to perform knowledge,Very High,WEF 2025
Emerging Technologies,Graphic Designers were considered a moderately,Very High,WEF 2025
Emerging Technologies,The Shifting human-machine frontier:,Very High,WEF 2025
Emerging Technologies,"The interplay between humans, machines and",Very High,WEF 2025
Emerging Technologies,Share of tasks (%),Very High,WEF 2025
Emerging Technologies,By 2030,Very High,WEF 2025
Emerging Technologies,"Importantly, this analysis only compares the",High,WEF 2025
Emerging Technologies,"However, a potentially more complex question",High,WEF 2025
Soft & Employability Skills,Insurance and Pensions Management and,High,WEF 2025
Soft & Employability Skills,Telecommunications are leading the automation,High,WEF 2025
Emerging Technologies,Services and Government and Public sectors,High,WEF 2025
Emerging Technologies,"Advanced Materials, Financial Services and Capital",High,WEF 2025
Emerging Technologies,"Agriculture, forestry, and",High,WEF 2025
Emerging Technologies,Insurance and pensions,High,WEF 2025
Emerging Technologies,Medical and healthcare,High,WEF 2025
Emerging Technologies,Government and public,High,WEF 2025
Emerging Technologies,Energy technology and,High,WEF 2025
Artificial Intelligence & Machine Learning,Retail and wholesale of,High,WEF 2025
Emerging Technologies,Professional services,High,WEF 2025
Soft & Employability Skills,"Acommodation, food, and",High,WEF 2025
Emerging Technologies,Information and technology,High,WEF 2025
Emerging Technologies,Mining and metals,High,WEF 2025
Emerging Technologies,Production of consumer,High,WEF 2025
Artificial Intelligence & Machine Learning,Supply chain and,High,WEF 2025
Emerging Technologies,Automotive and aerospace,High,WEF 2025
Emerging Technologies,Automation (%),High,WEF 2025
Emerging Technologies,Financial services and,High,WEF 2025
Emerging Technologies,Chemical and advanced,High,WEF 2025
Emerging Technologies,Increased government subsidies and industrial,High,WEF 2025
Software Engineering,Development Professionals. Increased restrictions,High,WEF 2025
Soft & Employability Skills,Management Specialists.,High,WEF 2025
Emerging Technologies,Global Average,High,WEF 2025
Artificial Intelligence & Machine Learning,Increased geopolitical division and conflicts,High,WEF 2025
Emerging Technologies,Expectations around climate-change adaptation,Very High,WEF 2025
Emerging Technologies,Engineers and Renewable Energy Engineers into,Very High,WEF 2025
Emerging Technologies,Both green transition-related macrotrends are also,Very High,WEF 2025
Emerging Technologies,Trades Workers.,Very High,WEF 2025
Emerging Technologies,Green hiring rates,Very High,WEF 2025
Emerging Technologies,B O X  2 . 1,Very High,WEF 2025
Emerging Technologies,May 2022.,Very High,WEF 2025
Emerging Technologies,In collaboration with LinkedIn,Very High,WEF 2025
Emerging Technologies,Hiring rate (%),Very High,WEF 2025
Emerging Technologies,LinkedIn analysis.,Very High,WEF 2025
Emerging Technologies,Growing working-age populations are the,Very High,WEF 2025
Emerging Technologies,Teachers. Aging and declining working-age,Very High,WEF 2025
Emerging Technologies,Education Teachers.,Very High,WEF 2025
Emerging Technologies,"Caretakers, Cleaners, and Housekeepers, while",Very High,WEF 2025
Soft & Employability Skills,"Administration Managers, General and Operations",Very High,WEF 2025
Soft & Employability Skills,"Managers, and Sales and Marketing Professionals.",Very High,WEF 2025
Emerging Technologies,"However, slower economic growth is also",Very High,WEF 2025
Software Engineering,"Specialists, Business Development Professionals,",Very High,WEF 2025
Emerging Technologies,Skills outlook,Very High,WEF 2025
Emerging Technologies,World Economic Forum’s Global Skills Taxonomy.36,Very High,WEF 2025
Emerging Technologies,It begins by analysing respondents’ expectations,Very High,WEF 2025
Emerging Technologies,Expected disruptions to skills,Very High,WEF 2025
Emerging Technologies,"The post-pandemic period, however, has seen",Very High,WEF 2025
Artificial Intelligence & Machine Learning,Despite current uncertainty around the long-term,Very High,WEF 2025
Emerging Technologies,Share of worker skill sets (%),High,WEF 2025
Emerging Technologies,Survey year,High,WEF 2025
Emerging Technologies,Disruptions to skills,High,WEF 2025
Emerging Technologies,"Disruption to skills 2025-2030, by economy",Moderate,WEF 2025
Emerging Technologies,"Korea, Republic of",Moderate,WEF 2025
Emerging Technologies,United States of America,Moderate,WEF 2025
Emerging Technologies,Core skills,Very High,WEF 2025
Data Science & Analytics,"This combination of cognitive, self-efficacy and",Very High,WEF 2025
Emerging Technologies,Working with others,Very High,WEF 2025
Emerging Technologies,Engagement skills,Very High,WEF 2025
Emerging Technologies,Cognitive skills,Very High,WEF 2025
Data Science & Analytics,Physical abilities,Very High,WEF 2025
Emerging Technologies,Technology skills,Very High,WEF 2025
Soft & Employability Skills,Management skills,Very High,WEF 2025
Emerging Technologies,Core skills in 2025,Very High,WEF 2025
Data Science & Analytics,Analytical thinking,Very High,WEF 2025
Data Science & Analytics,"Resilience, ﬂexibility and agility",Very High,WEF 2025
Soft & Employability Skills,Leadership and social inﬂuence,Very High,WEF 2025
Soft & Employability Skills,Creative thinking,Very High,WEF 2025
Emerging Technologies,Motivation and self-awareness,Very High,WEF 2025
Emerging Technologies,Technological literacy,Very High,WEF 2025
Emerging Technologies,Empathy and active listening,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Curiosity and lifelong learning,Very High,WEF 2025
Soft & Employability Skills,Talent management,Very High,WEF 2025
Emerging Technologies,Service orientation and customer service,Very High,WEF 2025
Artificial Intelligence & Machine Learning,AI and big data,Very High,WEF 2025
Soft & Employability Skills,Systems thinking,Very High,WEF 2025
Artificial Intelligence & Machine Learning,Dependability and attention to detail,Very High,WEF 2025
Emerging Technologies,Quality control,Very High,WEF 2025
Emerging Technologies,Teaching and mentoring,Very High,WEF 2025
Cybersecurity,Networks and cybersecurity,Very High,WEF 2025
Emerging Technologies,Design and user experience,Very High,WEF 2025
Emerging Technologies,Marketing and media,Very High,WEF 2025
Emerging Technologies,"Reading, writing and mathematics",Very High,WEF 2025
Emerging Technologies,Environmental stewardship,Very High,WEF 2025
Emerging Technologies,"Manual dexterity, endurance and precision",Very High,WEF 2025
Emerging Technologies,Global citizenship,Very High,WEF 2025
Data Science & Analytics,Sensory-processing abilities,Very High,WEF 2025
Emerging Technologies,The Mining and Metals industry distinguishes,High,WEF 2025
Emerging Technologies,Mining and Metals and Advanced Manufacturing,High,WEF 2025
Soft & Employability Skills,The Telecommunications industry stands out,High,WEF 2025
Soft & Employability Skills,"Overall, leadership and social influence, resilience,",High,WEF 2025
Emerging Technologies,"Skills on the rise, 2025-2030",Very High,WEF 2025
Emerging Technologies,Decreasing use,Very High,WEF 2025
Emerging Technologies,Increasing use,Very High,WEF 2025
Emerging Technologies,Net increase,Very High,WEF 2025
Emerging Technologies,Skill evolution,Very High,WEF 2025
Emerging Technologies,According to employer expectations for the,Very High,WEF 2025
